id_jogo;data;horario;adversario;time_casa;time_fora;local_jogo;status;estadio;endereco;cidade;competicao;fase;slug;url_completa
12271139;12/07/2026;15:00;Audax São Mateus;Linhares FC;Audax São Mateus;(C);REALIZADO;Estádio Municipal João Soares de Moura Filho;R. Olímpia, 327-341 - Pinheiros, ES, 29980-000;Pinheiros;Capixabão Série B;1ª Fase;2026-07-12-linhares-fc-audax-sao-mateus;https://www.ogol.com.br/jogo/2026-07-12-linhares-fc-audax-sao-mateus/12271139/performance
12271144;19/07/2026;15:00;Doze FC;Doze FC;Linhares FC;(F);REALIZADO;Estádio Gil Bernardes;R. Antônio Ataíde, 1843 - Centro de Vila Velha, Vila Velha - ES, 29100-295;Vila Velha;Capixabão Série B;1ª Fase;2026-07-19-doze-linhares-fc;https://www.ogol.com.br/jogo/2026-07-19-doze-linhares-fc/12271144/performance
12271153;28/07/2026;15:00;GEL;GEL;Linhares FC;(F);REALIZADO;Estádio Municipal Roberto Siqueira Costa;R. Antônio Ataíde, 1843 - Centro de Vila Velha, Vila Velha - ES, 29100-295;Serra;Capixabão Série B;1ª Fase;2026-07-28-gel-linhares-fc;https://www.ogol.com.br/jogo/2026-07-28-gel-linhares-fc/12271153/performance
12271155;05/08/2026;15:00;CTE Colatina;Linhares FC;CTE Colatina;(C);REALIZADO;Estádio Conilon;Jaguaré, ES, 29950-000;Jaguaré;Capixabão Série B;1ª Fase;2026-08-05-linhares-fc-cte-colatina;https://www.ogol.com.br/jogo/2026-08-05-linhares-fc-cte-colatina/12271155/performance
12271160;08/08/2026;15:00;Audax São Mateus;Audax São Mateus;Linhares FC;(F);REALIZADO;Estádio Sernamby;São Mateus - ES;São Mateus;Capixabão Série B;1ª Fase;2026-08-08-audax-sao-mateus-linhares-fc;https://www.ogol.com.br/jogo/2026-08-08-audax-sao-mateus-linhares-fc/12271160/performance
12271165;14/08/2026;15:00;Doze FC;Linhares FC;Doze FC;(C);REALIZADO;Estádio Conilon;Jaguaré, ES, 29950-000;Jaguaré;Capixabão Série B;1ª Fase;2026-08-14-linhares-fc-doze;https://www.ogol.com.br/jogo/2026-08-14-linhares-fc-doze/12271165/performance
12271173;26/08/2026;15:00;GEL;Linhares FC;GEL;(C);REALIZADO;Estádio Conilon;Jaguaré, ES, 29950-000;Jaguaré;Capixabão Série B;1ª Fase;2026-08-26-linhares-fc-gel;https://www.ogol.com.br/jogo/2026-08-26-linhares-fc-gel/12271173/performance
12271178;29/08/2026;15:00;CTE Colatina;CTE Colatina;Linhares FC;(F);REALIZADO;Estádio Justiniano de Melo e Silva;Bairro Tropical - Colatina, ES;Colatina;Capixabão Série B;1ª Fase;2026-08-29-cte-colatina-linhares-fc;https://www.ogol.com.br/jogo/2026-08-29-cte-colatina-linhares-fc/12271178/performance
12650865;05/09/2026;16:00;Rive;Rive;Linhares FC;(F);AGENDADO;Estádio Almiro Ofranti;R. Eupídio Quintino - Vargem Alta, ES, 29295-000;Vargem Alta;Capixabão Série B;2ª Fase;2026-09-05-rive-linhares-fc;https://www.ogol.com.br/jogo/2026-09-05-rive-linhares-fc/12650865/performance
12650867;11/09/2026;19:40;Rive;Linhares FC;Rive;(C);AGENDADO;Estádio Conilon;Jaguaré, ES, 29950-000;Jaguaré;Capixabão Série B;2ª Fase;2026-09-11-linhares-fc-rive;https://www.ogol.com.br/jogo/2026-09-11-linhares-fc-rive/12650867/performance
